#{"t_start": 1733458263.838672, "env_id": "ALE/Pong-v5"}
r,l,t
-19.0,1044,2.661766
-21.0,1034,7.248198
-21.0,914,11.341417
-20.0,843,15.122247
-20.0,1027,19.863
-21.0,764,23.347002
-20.0,871,27.377941
-20.0,1036,32.133717
-21.0,931,36.52379
-21.0,792,40.259561
-21.0,855,44.277876
-21.0,1062,49.340825
-19.0,1084,54.505697
-20.0,1011,59.386338
-21.0,944,63.891841
-21.0,824,67.931114
-19.0,1009,72.84715
-20.0,962,77.552043
-21.0,811,81.551075
-21.0,968,86.340714
-20.0,1108,91.875619
-21.0,884,96.486972
-21.0,764,100.408197
-20.0,843,104.805826
-21.0,843,109.271878
-21.0,764,113.390181
-21.0,826,117.790109
-21.0,764,121.810486
-20.0,930,126.794724
-21.0,792,131.015996
-21.0,912,136.00898
-21.0,783,140.420281
-21.0,907,145.430648
-21.0,932,150.528729
-21.0,783,154.858954
-20.0,931,159.997183
-19.0,1065,165.726829
-21.0,854,170.417852
-21.0,811,174.816817
-19.0,938,179.937926
-20.0,909,184.947646
-21.0,902,189.90775
-19.0,981,195.405365
-20.0,843,200.132074
-21.0,886,205.168934
-21.0,840,210.039456
-20.0,995,215.659113
-20.0,898,220.894957
-21.0,902,225.94504
-19.0,1039,231.987153
-21.0,852,237.072175
-21.0,913,242.36839
-21.0,821,247.2503
-19.0,1144,254.038668
-21.0,941,259.39505
-21.0,831,264.15985
-20.0,1014,270.064358
-21.0,947,275.60204
-19.0,1057,281.812279
-20.0,918,287.375327
-19.0,1040,293.641552
-21.0,872,298.913573
-21.0,1029,304.929844
-20.0,1067,311.283711
-21.0,997,318.238979
-21.0,864,323.872515
-20.0,870,329.766273
-19.0,1337,338.611293
-20.0,1038,345.470405
-21.0,932,351.881476
-20.0,1070,359.362494
-19.0,1194,367.337928
-19.0,1082,374.266184
-21.0,941,380.532611
-20.0,1005,387.23335
-20.0,1135,395.095175
-19.0,1415,404.132234
-20.0,1177,411.528428
-18.0,1226,419.69401
-19.0,1219,428.158188
-18.0,1228,436.790695
-17.0,1414,446.447371
-20.0,1295,455.964605
-19.0,1151,465.139166
-19.0,1306,475.350482
-16.0,1555,487.869273
-20.0,1220,498.470063
